Title,File,Genre,Type,Length,Year
Shrek,Shrek.png,Fantasy/Comedy,Movie,1.30,2001
Rise Of The Guardians,Movie Covers/Rise of the Guardians.png,animated,Movie,1.37,2012
Shrek 2,Shrek 2.png,Comedy/Adventure,Movie,1.45,2004
Shrek the Third,Shrek the Third.png,Family/Adventure,Movie,1.33,2007
The Wizard of Oz,The Wizard of Oz.png,Musical/Fantasy,Movie,1.52,1939
Journey Back to Oz,Journey Back to Oz.png,Fantasy/Family,Movie,1.28,1972
Oz The Great and Powerful,Oz The Great and Powerful.png,Fantasy/Adventure,Movie,2.10,2013
Return to Oz,Return to Oz.png,Fantasy/Family,Movie,1.53,1985
Back to the Future,Back to the Future.png,Sci-fi/Comedy,Movie,1.56,1985
Back to the Future Part II,Back to the Future Part II.png,Sci-fi/Adventure,Movie,1.48,1989
Back to the Future Part III,Back to the Future Part III.png,Western/Sci-fi,Movie,1.58,1990
Journey to the Center of the Earth,Journey to the Center of the Earth.png,Adventure/Fantasy,Movie,1.33,2008
Journey 2 The Mysterious Island,Journey 2 The Mysterious Island.png,Action/Adventure,Movie,1.34,2012
Halloween,Halloween.png,Horror/Thriller,Movie,1.31,1978
Halloween II,Halloween II.png,Horror/Thriller,Movie,1.32,1981
Halloween III:Season of the Witch,Halloween III Season of the Witch.png,Horror/Sci-fi,Movie,1.39,1982
Halloween 4 The Return of Michael Myers,Halloween 4 The Return of Michael Myers.png,Horror/Slasher,Movie,1.32,1988
Halloween 5 The Revenge of Michael Myers,Halloween 5 The Revenge of Michael Myers.png,Horror/Slasher,Movie,1.37,1989
Halloween The Curse of Michael Myers,Halloween The Curse of Michael Myers.png,Horror/Slasher,Movie,1.36,1995
Halloween H20 20 Years Later,Halloween H20 20 Years Later.png,Horror/Thriller,Movie,1.26,1998
Halloween Resurrection,Halloween Resurrection.png,Horror/Slasher,Movie,1.34,2002
Halloween(2018),Halloween(2018).png,Horror/Thriller,Movie,1.49,2018
Halloween Kills,Halloween Kills.png,Slasher/Thriller,Movie,1.46,2021
Halloween Ends,Halloween Ends.png,Horror/Thriller,Movie,1.51,2022
Spider-Man,Spider-Man.png,Action/Fantasy,Movie,2.01,2002
Spider-Man 2,Spider-Man 2.png,Action/Adventure,Movie,2.07,2004
Spider-Man 3,Spider-Man 3.png,Action/Sci-fi,Movie,2.19,2007
The Amazing Spider-Man,The Amazing Spider-Man.png,Action/Adventure,Movie,2.16,2012
The Amazing Spider-Man 2,The Amazing Spider-Man 2.png,Action/Adventure,Movie,2.22,2014
