Title,Genre,Type,Length,Year,Rating
New York Doll,Documentary/Music,Movie,75,2005,99
Mickeys Magical Christmas Snowed in at the House of Mouse,Adventure/Animation/Comedy/Family/Fantasy,Movie,65,2001,89
Mickeys House of Villains,Animation/Comedy/Family/Fantasy/Horror,Movie,68,2001,76
Peter Rabbit,Adventure/Animation/Comedy/Family/Fantasy,Movie,95,2018,76
An Extremely Goofy Movie,Animation/Comedy/Family/Sport,Movie,79,2000,53
89,Uncategorized,Movie,91,2017,87
Forever My Girl,Drama/Music/Romance,Movie,108,2018,23
Tom Segura Disgraceful,Comedy/Documentary,Movie,71,2018,65
Summer Holiday,Comedy/Romance,Movie,98,2000,55
Destination Wedding,Comedy/Drama/Romance,Movie,90,2018,44
